Department,Semester,Course Code,Course Name,L,T,P,S,C,Faculty,Schedule,total_students
DSAI,2,NEW6,Photography101,0,0,1,0,0,Dr. Prabhu Prasad,Yes,31
DSAI,2,NEW7,Introduction to Holistic Personality Development,0,0,1,0,0,Prof. Chachadi and Dr. Chandrika K,Yes,25
DSAI,2,NEW8,Visual Design: Principles and Application in Product Communication,0,0,0,2,0,Dr. Sandesh P,Yes,19
DSAI,2,ASD151,Introduction to Design,0,0,1,0,0,Dr. Sandesh P,Yes,27
DSAI,2,HS151,Introduction to Personal Finance,0,0,2,0,0,Dr. Siddharth,Yes,23
DSAI,2,NEW9,Introduction to Internet of Things,0,0,2,0,0,Dr. Jagadeesha Bhat,Yes,26
DSAI,2,NEW10,Computer Intensive Statistical Methods,0,0,2,0,0,Dr. Ramesh Athe,Yes,21
DSAI,2,NEW11,Concurrency and Computation,0,0,2,0,0,Dr Pramod Y,Yes,18
DSAI,4,MA202,Linear Algebra,3,1,0,0,4,Dr. Chinmayananda,Yes,70
DSAI,4,HS206,Industrial Social Psychology,3,0,0,0,3,Dr. Navyashree,Yes,70
DSAI,4,CS204,Operating Systems,3,1,0,0,4,Dr. Manjunath KV,Yes,70
DSAI,4,DS204,Software Engineering and Services,3,0,2,0,4,Dr. Animesh Chaturvedi,Yes,70
DSAI,4,CS310,Database Management System,3,1,2,0,5,Dr. Shirshendu & Dr. Utkarsh Khaire,Yes,70
DSAI,4,DS205,Global Business Perspectives,3,0,0,0,3,Mr. Manmohan Singh,Yes,70
DSAI,6,DS309,Cloud Computing,3,0,0,4,4,Dr. Animesh Chaturvedi,Yes,70
DSAI,6,DS306,Financial Data Analytics,3,0,0,4,4,Dr. Utkarsh Khaire,Yes,70
DSAI,6,DS307,Innovation & Entrepreneurship,3,1,0,0,4,Mr. Ram Subramanian,Yes,70
DSAI,6,DS308,Data Security & Privacy,3,1,0,0,4,Dr. Abdul Wahid & Dr. Rajendra Hegadi,Yes,70
DSAI,6,DS399,Mini ProjectI,0,0,0,8,2,Dr. Shirshendu,Yes,70
DSAI,6,CS464,Deep Learning for Computer Vision,3,1,0,0,4,Dr. Chinmayananda,Yes,28
DSAI,6,NEW12,Large Language Models,3,0,0,4,4,Dr. Sunil S,Yes,31
DSAI,6,CS458,Natural Language Processing,3,1,0,0,4,Dr. Krishnendu Ghosh,Yes,25
DSAI,6,NEW13,Deep Speech Processing,3,1,0,0,4,Prof. SRM Prasanna,Yes,19
DSAI,6,CS455,Blockchain Technology,3,0,0,4,4,Dr. Rajendra H,Yes,24
DSAI,6,EC361,Introduction to 5G Network,3,1,0,0,4,Dr. Jagadeesha Bhat,Yes,22
