
Department,Semester,Course Code,Course Name,L,T,P,S,C,Faculty,Schedule,total_students
DSAI,6,DS323,Deep Speech Processing,3,1,0,0,4,Prof. SRM Prasanna,Yes,19
DSAI,6,CS455,Blockchain Technology,3,0,0,4,4,Dr. Rajendra H,Yes,24
DSAI,6,DS324,Model Checking,3,0,0,4,4,Dr. Pavan,Yes,15
DSAI,6,DS327,Design Thinking and Innovation,3,1,0,0,4,Dr. Sandesh P,Yes,29
DSAI,2,MA161,Linear Algebra,3,1,0,0,2,Dr. Somen Bhattacharjee,Yes,70
DSAI,2,MA162,Optimization,3,1,0,0,2,Dr. Dibyajyothi Guha,Yes,70
DSAI,2,CS264,Computer Architecture,3,0,2,0,2,Dr.Jagadish D N,Yes,70
DSAI,2,HS152,English Language and Communication,3,0,0,0,3,Dr. Rajesh N S,Yes,70
DSAI,2,CS163,Data Structures and Algorithms,3,0,2,0,4,Dr. Prabhu Prasad,Yes,70
DSAI,2,CS324,Network Analysis,2,1,0,0,3,Dr. Sibasankar Padhy,Yes,70
DSAI,2,DS328,Data Science with Python,0,0,2,0,0,Dr. Abdul Wahid,Yes,26
DSAI,2,DS330,Industry Insights Program Part 1,0,0,1,0,0,Mr. Ram Subramanian,Yes,33
ECE,2,HS334,Introduction to Holistic Personality Development,0,0,1,0,0,Dr. Chandrika,Yes,26
ECE,2,HS236,Introduction to Internet of Things,0,0,2,0,0,Dr. Jagadeesha Bhat,Yes,24
ECE,4,MA208,Probability and Random Processes,3,1,0,0,4,Dr. Rajib Sharma/ Rajesh Kumar,Yes,70
ECE,4,EC205,Control Systems,3,0,2,0,4,Dr. Pankaj Kumar,Yes,70
ECE,4,EC310,Embedded Systems Design,3,1,0,0,4,Dr. Prakash Pawar,Yes,70
ECE,4,EC204,Analog and Digital Communication,3,1,2,0,5,Dr. Somen Bhattacharjee,Yes,70
ECE,4,HS204,Economics,3,1,0,0,4,Dr. Anushree Kini,Yes,70
ECE,4,HS205,Ethics,3,0,0,0,3,Dr. Jolly Thomas,Yes,70
ECE,6,CS307,Wireless Communication,3,0,0,4,4,Dr. Rajib Sharma/ Dr. Rao (Lab),Yes,70
ECE,6,CS464,Deep Learning for Computer Vision ,3,1,0,0,4,Dr. Chinmayanand,Yes,30
ECE,6,HS239,Large Languange Models,3,0,0,4,4,Dr. Sunil S,Yes,25
ECE,6,CS458,Natural Language Processing,3,1,0,0,4,Dr. Krishnendu Ghosh,Yes,27
ECE,6,HS240,Deep Speech Processing,3,1,0,0,4,Prof. SRM Prasanna,Yes,21
ECE,6,CS455,Blockchain Technology,3,0,0,4,4,Dr. Rajendra H,Yes,26
ECE,6,HS241,Design Thinking and Innovation,3,1,0,0,4,Dr. Sandesh P,Yes,28
ECE,6,CS307,Machine Learning,3,1,0,0,4,Dr. Deepak K T,Yes,33
ECE,6,Mini Project 1,Mini Project 1,0,0,0,8,2,Dr. Pankaj Kumar,Yes,70
ECE,8,EC499,Major Project,0,0,0,32,8,Dr. Rajesh Kumar,Yes,70
ECE,8,DS499,Major Project,0,0,0,32,,Dr. Abdul Wahid,Yes,70
ECE,2,ELE001,Elective,3,0,0,0,2,xxx,Yes,70
ECE,6,ELE002,Elective,3,0,0,0,2,xxx,Yes,70
ECE,4,ELE003,Elective,3,0,0,0,2,xxx,Yes,70
CSE,2,ELE001,Elective,3,0,0,0,2,xxx,Yes,70
CSE,6,ELE002,Elective,3,0,0,0,2,xxx,Yes,70
CSE,4,ELE003,Elective,3,0,0,0,2,xxx,Yes,70
DSAI,2,ELE001,Elective,3,0,0,0,2,xxx,Yes,70
DSAI,6,ELE002,Elective,3,0,0,0,2,xxx,Yes,70
DSAI,4,ELE003,Elective,3,0,0,0,2,xxx,Yes,70
